submission_pk,User,Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
439349,venkatesh-1729,0.798 (1),0.666 (1),,,,,,,,,,,
438639,psyml,0.761 (2),0.639 (2),,,,,,,,,,,
466305,dominikstanojevic,0.740 (3),0.616 (3),,,,,,,,,,,
439905,anasteam,0.723 (7),0.574 (6),,,,,,,,,,,
439099,minok00,0.726 (6),0.539 (10),,,,,,,,,,,
445038,wangmin,0.727 (5),0.557 (9),,,,,,,,,,,
439143,danielfl,0.721 (8),0.531 (12),,,,,,,,,,,
440376,Habibeh,0.731 (4),0.608 (4),,,,,,,,,,,
439154,jogonba2,0.700 (9),0.582 (5),,,,,,,,,,,
437594,lanman,0.697 (10),0.558 (7),,,,,,,,,,,
437726,CZWin32768,0.665 (12),0.557 (8),,,,,,,,,,,
438767,yoyo,0.671 (11),0.538 (11),,,,,,,,,,,
440637,dmikrav,0.635 (13),0.517 (13),,,,,,,,,,,
481606,derrickpehjh,0.614 (16),0.486 (15),,,,,,,,,,,
437598,ISCLAB,0.634 (14),0.468 (16),,,,,,,,,,,
439843,ruwanw,0.629 (15),0.502 (14),,,,,,,,,,,
439367,Amrita_student,0.262 (17),0.256 (17),,,,,,,,,,,
440157,bicici,0.233 (18),0.237 (18),,,,,,,,,,,
439459,thelonewolf190694,0.090 (19),0.111 (19),,,,,,,,,,,
440357,dragoni,0.049 (20),0.033 (21),,,,,,,,,,,
439130,AlexandraFlescan,-0.014 (21),0.036 (20),,,,,,,,,,,
500063,mhjabreel,-999.999 (22),-999.999 (22),,,,,,,,,,,
496648,yjiang18,-999.999 (22),-999.999 (22),,,,,,,,,,,
488537,nvidia-AI,-999.999 (22),-999.999 (22),,,,,,,,,,,
486041,AngeloMarlon,-999.999 (22),-999.999 (22),,,,,,,,,,,
437810,hhaddad,-999.999 (22),-999.999 (22),,,,,,,,,,,
442297,to.john.mcgonical,-999.999 (22),-999.999 (22),,,,,,,,,,,
441651,ad26kt,-999.999 (22),-999.999 (22),,,,,,,,,,,
439087,hebe,-999.999 (22),-999.999 (22),,,,,,,,,,,
439109,NAVEEN.J.R,-999.999 (22),-999.999 (22),,,,,,,,,,,
439145,utpalsikdar,-999.999 (22),-999.999 (22),,,,,,,,,,,
439196,NAGOUDI,-999.999 (22),-999.999 (22),,,,,,,,,,,
460109,FrosinaStojanovska,-999.999 (22),-999.999 (22),,,,,,,,,,,
451204,prabod,-999.999 (22),-999.999 (22),,,,,,,,,,,
469089,bakrianoo,-999.999 (22),-999.999 (22),,,,,,,,,,,
469166,Malak,-999.999 (22),-999.999 (22),,,,,,,,,,,
475341,nvidia,-999.999 (22),-999.999 (22),,,,,,,,,,,
submission_pk,User,Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
469166,Malak,0.680 (1),0.557 (1),,,,,,,,,,,
439459,thelonewolf190694,0.269 (3),0.111 (4),,,,,,,,,,,
439367,Amrita_student,0.393 (2),0.282 (2),,,,,,,,,,,
440157,bicici,0.238 (4),0.168 (3),,,,,,,,,,,
500063,mhjabreel,-999.999 (5),-999.999 (5),,,,,,,,,,,
496648,yjiang18,-999.999 (5),-999.999 (5),,,,,,,,,,,
488537,nvidia-AI,-999.999 (5),-999.999 (5),,,,,,,,,,,
486041,AngeloMarlon,-999.999 (5),-999.999 (5),,,,,,,,,,,
481606,derrickpehjh,-999.999 (5),-999.999 (5),,,,,,,,,,,
437726,CZWin32768,-999.999 (5),-999.999 (5),,,,,,,,,,,
437810,hhaddad,-999.999 (5),-999.999 (5),,,,,,,,,,,
442297,to.john.mcgonical,-999.999 (5),-999.999 (5),,,,,,,,,,,
438639,psyml,-999.999 (5),-999.999 (5),,,,,,,,,,,
438767,yoyo,-999.999 (5),-999.999 (5),,,,,,,,,,,
437594,lanman,-999.999 (5),-999.999 (5),,,,,,,,,,,
437598,ISCLAB,-999.999 (5),-999.999 (5),,,,,,,,,,,
441651,ad26kt,-999.999 (5),-999.999 (5),,,,,,,,,,,
445038,wangmin,-999.999 (5),-999.999 (5),,,,,,,,,,,
439087,hebe,-999.999 (5),-999.999 (5),,,,,,,,,,,
439099,minok00,-999.999 (5),-999.999 (5),,,,,,,,,,,
439109,NAVEEN.J.R,-999.999 (5),-999.999 (5),,,,,,,,,,,
439130,AlexandraFlescan,-999.999 (5),-999.999 (5),,,,,,,,,,,
439145,utpalsikdar,-999.999 (5),-999.999 (5),,,,,,,,,,,
439154,jogonba2,-999.999 (5),-999.999 (5),,,,,,,,,,,
439143,danielfl,-999.999 (5),-999.999 (5),,,,,,,,,,,
439196,NAGOUDI,-999.999 (5),-999.999 (5),,,,,,,,,,,
439349,venkatesh-1729,-999.999 (5),-999.999 (5),,,,,,,,,,,
439843,ruwanw,-999.999 (5),-999.999 (5),,,,,,,,,,,
439905,anasteam,-999.999 (5),-999.999 (5),,,,,,,,,,,
440357,dragoni,-999.999 (5),-999.999 (5),,,,,,,,,,,
440376,Habibeh,-999.999 (5),-999.999 (5),,,,,,,,,,,
440637,dmikrav,-999.999 (5),-999.999 (5),,,,,,,,,,,
460109,FrosinaStojanovska,-999.999 (5),-999.999 (5),,,,,,,,,,,
451204,prabod,-999.999 (5),-999.999 (5),,,,,,,,,,,
466305,dominikstanojevic,-999.999 (5),-999.999 (5),,,,,,,,,,,
469089,bakrianoo,-999.999 (5),-999.999 (5),,,,,,,,,,,
475341,nvidia,-999.999 (5),-999.999 (5),,,,,,,,,,,
submission_pk,User,Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (all instances),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1),Pearson (gold in 0.5-1)
,macro-avg,anger,fear,joy,sadness,macro-avg,anger,fear,joy,sadness
